Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
12286569161,"Aug 31, 2024, 7:29:23 AM",Denia 4k 31.8.24,Run,,1227,4.00,,,false,,,activities/12286569161.gpx,,,1227.0,1227.0,4006.7,6.997,3.265,2.4,2.4,8.9,11.7,4.1,0.0,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,13.0,0.0,,1.0,4009.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.265,3892.8,,,,,,,,,3.268,,,,,,,,""
12312426596,"Sep 3, 2024, 6:32:46 AM",Denia 7K 3.9.24,Run,,2359,7.00,,,false,,,activities/12312426596.gpx,,,2359.0,2238.0,7006.5,5.628,3.131,7.0,7.0,7.1,14.2,4.8,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,59.0,0.0,,1.0,7011.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.97,4862.8,,,,,,,,,3.133,,,,,,,,""
12327869051,"Sep 4, 2024, 8:42:36 PM",Madrid noche 8K 4.9.24,Run,,2700,8.00,,,false,,,activities/12327869051.gpx,,,2700.0,2540.0,8005.7,10.402,3.152,64.7,64.7,635.6,684.0,22.5,0.1,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,28.0,0.0,,1.0,8078.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.965,0.0,,,,,,,,,3.181,,,,,,,,""
12377627761,"Sep 10, 2024, 6:36:55 PM",5k alegre 10.9.24,Run,,1494,5.01,,,false,,,activities/12377627761.gpx,,,1494.0,1345.0,5010.8,9.88,3.726,35.8,35.8,674.4,708.5,18.2,-0.2,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,35.0,0.0,,1.0,5057.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.354,225.1,,,,,,,,,3.76,,,,,,,,""
12377934099,"Sep 10, 2024, 7:06:02 PM",6k + suaves 10.9.24,Run,,2189,6.01,,,false,,,activities/12377934099.gpx,,,2189.0,2080.0,6011.1,8.608,2.89,55.9,55.9,655.9,687.7,35.2,0.3,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,23.0,0.0,,1.0,6174.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.746,0.0,,,,,,,,,2.969,,,,,,,,""
12444404249,"Sep 18, 2024, 5:05:41 PM",Rodaje largo 14K 18.9.24,Run,Con [strava://athletes/145543737/11]Pablo Ausín y sus nuevas 👠,4725,14.00,,,false,,,activities/12444404249.gpx,,,4725.0,4606.0,14001.2,7.536,3.04,39.7,39.7,578.5,678.2,23.0,-0.5,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,51.0,0.0,,1.0,13933.9,1726678784.0,1.0,25.5,26.5,10.5,0.39,1010.1,1.9,4.6,189.0,0.1,1726639104.0,1726683520.0,0.5,,,0.14,5.0,0.16,31908.0,0.0,,,,,0.0,2.963,1035.9,,,,,,,,,3.025,,,,,,,,""
12510431948,"Sep 26, 2024, 5:05:24 PM",10k test 26.9.24,Run,,3417,11.02,,,false,,,activities/12510431948.gpx,,,3417.0,3058.0,11024.2,10.402,3.605,86.6,86.6,635.3,708.2,45.7,-0.4,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,80.0,0.0,,1.0,11134.8,1727369984.0,8.0,20.6,18.3,15.2,0.71,1011.4,6.8,13.3,234.0,0.0,1727330816.0,1727373824.0,0.875,,,0.31,5.0,0.23,28216.0,0.0,,,,,0.0,3.226,554.7,,,,,,,,,3.641,,,,,,,,""
12522110038,"Sep 28, 2024, 9:56:43 AM",CIU 5K 28.9.24,Run,,1428,4.99,,,false,,,activities/12522110038.gpx,,,1428.0,1428.0,4997.4,4.978,3.5,42.7,42.7,642.3,667.1,7.4,0.1,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,37.0,0.0,,1.0,5057.8,1727513984.0,1.0,12.2,11.9,3.1,0.54,1025.7,3.0,6.8,53.0,0.0,1727503744.0,1727546496.0,0.875,,,0.0,1.0,0.27,32228.0,2.0,,,,,0.0,3.5,6.1,,,,,,,,,3.542,,,,,,,,""
12566924609,"Oct 3, 2024, 5:27:47 PM",11K 3.10.24,Run,,3571,11.01,,,false,,,activities/12566924609.gpx,,,3571.0,3124.0,11012.7,12.764,3.525,80.2,80.2,635.7,708.2,41.4,-0.5,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,34.0,0.0,,1.0,11134.0,1727974784.0,1.0,22.8,22.2,7.7,0.38,1012.2,3.3,8.6,330.0,0.0,1727936000.0,1727977984.0,0.0,,,0.27,5.0,0.17,35473.0,0.0,,,,,0.0,3.084,615.5,,,,,,,,,3.564,,,,,,,,media/e764e564-978e-4edc-a64c-3cea50e0e9d3.jpg
12623660449,"Oct 10, 2024, 5:10:16 PM",12k 10.10.24,Run,,3800,12.01,,,false,,,activities/12623660449.gpx,,,3800.0,3472.0,12015.3,11.618,3.461,92.9,92.9,620.9,708.5,49.3,-0.4,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,62.0,0.0,,1.0,12201.3,1728579584.0,2.0,17.8,17.4,5.4,0.44,1013.2,2.0,5.2,249.0,0.0,1728541312.0,1728582144.0,0.125,,,0.0,1.0,0.39,33120.0,0.0,,,,,0.0,3.162,924.7,,,,,,,,,3.514,,,,,,,,media/0bde6e17-b2a8-4ced-8793-67c9a619b4fb.jpg
