Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
12390473955,"Sep 12, 2024, 8:58:59 AM",Carrera de mañana,Run,,2462,4.76,,,false,,,#error#,,,2462.0,1360.0,4764.7,7.564,3.503,41.4,40.4,223.0,229.0,33.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4884.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.935,0.0,,,,,,,,,3.592,,,,,,,,""
12418815008,"Sep 14, 2024, 7:52:55 AM",Moncayo 😎,Walk,"",12780,8.95,177.0,81,false,,,activities/13240610746.tcx.gz,,,12780.0,10292.0,8953.2,2.02,0.87,766.1,796.7,1567.8,2306.9,50.0,-0.4,,,89.0,52.0,177.0,126.0,,,2354.0,,,81.0,,,,,,,,,,,0.0,,0.0,,1.0,14300.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.701,8848.6,,,,,,,,,1.826,,,,,,,,""
12427217661,"Sep 16, 2024, 5:44:16 PM",Evening Walk,Walk,,6913,9.93,102.0,12,false,,,activities/13249623636.tcx.gz,,,6913.0,6717.0,9929.9,3.1,1.478,35.7,32.1,194.9,211.3,11.1,0.0,,,92.0,59.0,102.0,87.0,,,782.0,,,12.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.436,6366.6,,,,,,,,,,,,,,,,,""
12431031542,"Sep 17, 2024, 8:54:35 AM",Morning Run,Run,,2740,3.59,187.0,15,false,,,activities/13253699683.tcx.gz,,,2740.0,1006.0,3593.7,11.14,3.572,3.1,5.4,221.1,227.0,41.9,0.0,,,117.0,77.0,187.0,143.0,,,592.0,,,15.0,,,,,,,,,,,,,0.0,,1.0,3613.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.312,0.0,,,,,,,,,3.592,,,,,,,,""
12489697555,"Sep 23, 2024, 4:59:23 PM",Evening Walk,Walk,,7488,11.63,100.0,12,false,,,activities/13316358848.tcx.gz,,,7488.0,7367.0,11638.2,4.58,1.58,65.3,64.1,204.3,250.2,25.0,0.0,,,94.0,60.0,100.0,82.0,,,903.0,,,12.0,,,,,,,,,,,,,0.0,,1.0,,1727107200.0,1.0,22.6,23.3,11.6,0.5,1013.4,3.2,5.8,327.0,0.0,1727070720.0,1727114240.0,0.625,,,0.13,5.0,0.08,29823.0,1.0,,,,,0.0,1.554,5919.6,,,,,,,,,,,,,,,,,""
12490409349,"Sep 24, 2024, 8:31:13 AM",Morning Run,Run,,1871,4.14,187.0,31,false,,,activities/13317128436.tcx.gz,,,1871.0,1317.0,4139.6,7.08,3.143,8.9,8.9,221.9,226.7,50.0,0.0,,,98.0,78.0,187.0,150.0,,,474.0,,,31.0,,,,,,,,,,,,,0.0,,1.0,4159.1,1727164800.0,1.0,16.6,18.1,10.9,0.69,1013.4,1.6,4.8,284.0,0.0,1727157248.0,1727200640.0,0.625,,,0.0,1.0,0.33,27827.0,1.0,,,,,0.0,2.213,0.0,,,,,,,,,3.158,,,,,,,,""
12506634824,"Sep 26, 2024, 7:52:09 AM",Morning Run,Run,,1717,2.31,187.0,13,false,,,activities/13334374648.tcx.gz,,,1717.0,675.0,2318.6,12.06,3.435,0.0,0.0,224.0,225.4,5.0,0.0,,,105.0,75.0,187.0,149.0,,,381.0,,,13.0,,,,,,,,,,,,,0.0,,1.0,2323.7,1727334016.0,1.0,21.0,21.6,16.0,0.73,1007.6,3.3,6.9,237.0,0.0,1727330176.0,1727373184.0,0.875,,,0.32,5.0,0.03,26317.0,0.0,,,,,0.0,1.35,0.0,,,,,,,,,3.443,,,,,,,,""
12546011976,"Oct 1, 2024, 8:01:31 AM",Series 😎,Run,"4x400|| 1:20 
8x40",1787,3.29,178.0,20,false,,,activities/13376482333.tcx.gz,,,1787.0,1170.0,3292.8,8.86,2.814,0.0,0.0,224.2,224.7,20.0,0.0,,,105.0,67.0,178.0,146.0,,,416.0,,,20.0,,,,,,,,,,,0.0,,0.0,,1.0,3295.5,1727769600.0,3.0,16.8,17.3,13.4,0.8,1016.5,1.2,3.8,117.0,0.0,1727762432.0,1727804672.0,0.875,,,0.0,1.0,0.84,28538.0,1.0,,,,,0.0,1.843,0.0,,,,,,,,,2.817,,,,,,,,""
12562856401,"Oct 3, 2024, 8:57:34 AM",Morning Run,Run,8x40 🫡,1758,2.78,157.0,5,false,,,activities/13394456123.tcx.gz,,,1758.0,992.0,2780.9,8.92,2.803,0.0,0.0,224.2,224.7,25.0,0.0,,,110.0,75.0,157.0,124.0,,,320.0,,,5.0,,,,,,,,,,,0.0,,0.0,,1.0,2781.9,1727942400.0,8.0,13.9,9.5,9.7,0.76,1013.3,9.3,16.1,299.0,0.0,1727935360.0,1727977344.0,0.0,,,0.38,5.0,0.08,27867.0,1.0,,,,,0.0,1.582,0.0,,,,,,,,,2.804,,,,,,,,""
12603562323,"Oct 8, 2024, 7:52:22 AM",Sprints ⚡️,Run,"Calentamiento
8x40",1456,2.53,172.0,21,false,,,activities/13437236853.tcx.gz,,,1456.0,799.0,2534.3,9.4,3.172,0.0,2.9,222.2,225.8,6.5,0.0,,,106.0,85.0,172.0,153.0,,,268.0,,,21.0,,,,,,,,,,,0.0,,0.0,,1.0,2540.4,1728370816.0,1.0,14.4,13.5,10.2,0.76,1008.4,3.4,7.4,257.0,0.0,1728367744.0,1728408832.0,0.125,,,0.38,5.0,0.04,30536.0,0.0,,,,,0.0,1.741,0.0,,,,,,,,,3.179,,,,,,,,""
